id,name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
1459,Self Esteem,The Offspring,6EsBn1Md8C5YdbCzvwvZq8,,https://i.scdn.co/image/ab67616d0000b2734fa96bb1bae5083fe96a0ea4,0.458,0.912,-3.666,0.0618,0.0175,0,0.363,0.611,0.037057651,0.432370861,0.867320848,0.004126335,0.198411921,0.076430464,0.640245033
1460,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,https://p.scdn.co/mp3-preview/9918253a683eafc0f9223491b2f868036e201627?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e71a5005c37e8c2ffd9beda8,0.61,0.893,-3.681,0.0921,0.154,4.41E-05,0.021,0.673,0.068824008,0.512679612,0.823902913,0.001183458,0.167405825,0.056724272,0.511456311
1461,Karma Chameleon - Remastered,Culture Club,2wSAWEYUHkt92X4SBAPqZE,,https://i.scdn.co/image/ab67616d0000b273c7d7cdad0c2ffa5620129ee8,0.668,0.73,-7.182,0.0366,0.225,0,0.188,0.894,0.335745,0.67675,0.6128,2.14E-07,0.18695,0.04059,0.6696
1462,High And Dry,Radiohead,5jafMI8FLibnjkYTZ33m0c,https://p.scdn.co/mp3-preview/7cc39826315239401b8bac4317c14c35ecdbcd58?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27322ca59e5c2d806439d5f08a2,0.418,0.383,-11.782,0.0257,0.0718,0.0177,0.0896,0.352,0.327631419,0.39239,0.55309,0.35020589,0.171157,0.048833,0.313472
1463,The Other Side,Hugh Jackman,2cKovq3l6OJjhVVDbVKOsr,https://p.scdn.co/mp3-preview/9de3aed975d874b924f75c9749e5417bdc68c4a4?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd,0.638,0.795,-8.45,0.302,0.00433,0.00139,0.153,0.31,0.244282714,0.434857143,0.499571429,0.009391743,0.235542857,0.1021,0.190314286
1464,Starlight,Muse,3skn2lauGk7Dx6bVIt5DVj,https://p.scdn.co/mp3-preview/f7a1b8a270f310e43ced2720c9af5f29f6476b79?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400,0.55,0.874,-4.046,0.0321,0.000436,1.02E-05,0.206,0.318,0.123523445,0.399828,0.7541,0.092190171,0.181468,0.053812,0.316606
1465,Meet Me in the Hallway,Harry Styles,4u9Y4Z9i9VaAbBK7rW1Rha,https://p.scdn.co/mp3-preview/eaa73d0d16995b0365268f1ffce7a267fb8f88e4?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,0.537,0.383,-6.528,0.0247,0.747,0.00025,0.356,0.339,0.268815577,0.541461538,0.586769231,0.016808884,0.156207692,0.035888462,0.406896154
1466,I Hate Everything About You,Three Days Grace,6rUp7v3l8yC4TKxAAR5Bmx,https://p.scdn.co/mp3-preview/8893669447625edf76339cdd67a338dad034a7ea?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d3f7fc260cd67d23844ce2c0,0.498,0.83,-5.157,0.0421,0.00461,0,0.139,0.453,0.016977351,0.44922807,0.833982456,9.37E-06,0.187719298,0.04585614,0.39375614
1467,Firework,Katy Perry,4lCv7b86sLynZbXhfScfm2,,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,0.638,0.826,-4.968,0.0479,0.139,0,0.0803,0.649,0.094791117,0.660198198,0.745810811,3.34E-05,0.201233333,0.053163063,0.621234234
1468,Otra vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,https://p.scdn.co/mp3-preview/79c8c9edc4f1ced9dbc368f24374421ed0a33005?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27382eabf564ddc57325a84dd50,0.832,0.772,-5.429,0.1,0.0559,0.000486,0.44,0.704,0.0967105,0.747675,0.81565,0.014060726,0.1671675,0.094,0.6677
